Date,Type,Link
2020-09-30 11:12:57,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6712000029655105536
2020-09-22 02:27:10,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6712358660707770368
2020-09-18 08:14:06,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6712060604653346816
2020-09-14 04:50:16,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6706952229955375104
2020-09-12 05:42:26,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6704320981831294977
2020-09-10 02:28:13,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6709415164581552128
2020-09-08 06:11:21,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6708378119004319745
2020-09-08 05:54:39,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6708674565133922304
2020-08-28 12:09:19,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6705019794254565376
2020-08-27 18:26:59,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6690572804334608385
2020-08-27 08:07:18,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6700307511028826112
2020-03-03 03:33:52,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6624900745349169152
2020-03-03 03:33:26,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6639775489722589184
